Neighborhood,kWh per month
Las Colinas.,"[390.35055824 461.01473535 305.99830848 291.55318057 331.15940093
 472.54547735 373.20814633 195.23114646 132.10842015 488.8650823
 105.49515245 468.50228707 403.12736606 317.83067638 282.28370562
 324.2410639  459.52066317 177.51006168 110.80611899 484.72846588
 491.72064229 494.49046225 195.5005154  263.57860166 141.87990928
 198.61843806 430.2774455  281.6671255  382.04910172 469.48527093
 457.08160105 433.20321229 434.55830911 435.57334851 175.67273194
 407.36659747]"
Las Delicias.,"[228.36134118 466.04614322 268.97573431 122.48156674 483.07080043
 388.66983781 395.01478202 264.08480695 135.14311057 491.04076108
 453.4614695  265.68595304 331.85865623 196.05904261 100.01206221
 438.22665387 148.81111797 349.83647679 161.78382954 200.78815713
 323.76025679 132.55227432 212.3071512  280.23094877 403.24773061
 451.49463607 364.99800336 370.25043038 432.92317366 419.24325908
 374.08817832 117.02256166 150.05368801 434.39675873 491.22777552
 477.95723132]"
Las Mercedes.,"[311.95013991 478.55514946 440.00944592 474.8317606  262.85890895
 360.33205498 351.0961798  206.24178717 183.15731324 458.23105387
 486.10318577 110.87921705 431.90086141 495.96885053 203.9837931
 462.79380423 427.23866213 126.71490519 311.37447198 392.71195202
 442.13062042 126.80643382 289.7188591  289.59185808 397.78090604
 157.6834728  423.10691535 476.52941379 491.43436011 212.84926174
 380.08274226 461.86938593 418.58078078 151.41656788 188.85904741
 236.5319858 ]"
Los Alpes.,"[459.14299864 328.48859422 324.73343001 326.80062459 451.82223381
 348.23199968 185.44238113 425.90177685 383.97292372 356.80518518
 119.90457671 499.8297802  498.37850084 343.19530527 354.19750671
 139.28544969 233.79469258 308.60942265 437.36559655 439.55510454
 197.85560747 159.66711071 495.81036169 270.15009906 486.45467621
 259.50936794 115.1676422  192.33777429 385.1890311  457.44714182
 319.54232355 378.13474049 161.68694929 346.82589072 119.62903886
 208.56330065]"
Los Jobos.,"[456.95764174 205.19222111 318.49892427 485.2075596  152.95030398
 114.03502008 107.56622489 145.37342843 320.34104209 413.83850728
 149.25110213 282.1529435  446.93521405 380.74066607 290.32862689
 214.24337942 499.27764498 104.45964236 279.94944415 443.37227472
 179.45935091 147.79607541 438.15775112 487.35930424 202.48854842
 101.16735893 122.05252155 145.29431016 155.48378669 269.27218462
 306.08181444 408.94846984 142.2170652  252.21351162 310.70212997
 211.80427045]"
Los Nogales.,"[125.14875532 490.99424761 218.66922723 100.77565884 477.18388331
 335.4182795  423.75974193 292.55871814 438.12046598 130.33710457
 226.15871326 498.40277716 229.11500525 296.798954   335.67792494
 499.30479391 126.54671372 361.50339935 294.88329517 188.11023661
 434.91298595 163.80889408 385.42134178 325.89178095 352.62152148
 172.87685324 188.61037573 102.32294699 427.31378124 157.15683214
 340.15193803 292.66232741 144.18166442 404.27107706 260.62809494
 387.23436976]"
Miramar.,"[438.92981258 180.70758726 147.36496961 480.89420313 213.80868451
 344.84416332 263.69331337 104.22335392 247.86828094 373.77002543
 338.54088269 214.28616033 191.25888976 259.3896295  351.01836364
 101.74855649 479.77264839 275.71623988 304.29219949 204.06195138
 323.23859207 494.53352733 463.46304893 414.29570666 329.95384133
 425.77065428 393.02990324 459.01502213 144.45921256 274.4000788
 410.60124367 171.27237838 485.0176012  255.29693169 444.14166254
 347.79828196]"
Modelo.,"[439.91590756 346.02476936 227.98494339 253.76299985 380.72487249
 190.7453201  427.84778358 489.77378979 416.14353027 234.43349742
 412.66082831 338.27973373 290.66153886 160.67660935 157.20570191
 283.42930407 342.15756278 441.82629734 162.89377998 481.06117369
 343.89550052 424.04961933 363.28588159 244.84886708 370.32736678
 461.98102406 190.39824931 452.10516816 378.0129544  258.00465128
 411.62119858 250.42002198 463.64373374 315.15659021 485.27900222
 415.1793791 ]"
Montecristo.,"[250.67981633 196.18914708 395.88140146 304.68180684 259.40644909
 441.55232    196.06142881 245.66033726 417.8040763  329.04362841
 295.83231889 372.98951965 248.39185551 207.70875749 283.38454849
 396.88995512 118.84570842 425.44482112 341.86868498 229.93230662
 184.84433494 104.61627942 374.71004016 395.59818188 309.70737009
 359.25994191 357.94244315 196.31278822 341.01186579 373.85053709
 343.21559908 156.88796188 451.45531265 356.78585303 350.58151767
 257.3595871 ]"
Nuevo Horizonte.,"[312.50663477 334.77747232 218.018622   114.40234796 424.12141667
 362.41313307 269.36834157 475.22550848 431.52663716 424.98789523
 223.30456708 408.28609008 423.42095734 435.76141665 401.06285209
 164.26769219 373.57541413 315.60096393 413.64592968 451.07530162
 264.58708538 449.66863242 456.92188083 185.09340188 307.80051652
 435.41687424 216.63847539 161.76243455 158.09418343 476.93994907
 249.42747605 181.58181877 464.05240938 411.28912922 398.45371173
 454.61813019]"
Paraíso.,"[305.1135925  388.15928798 173.35806658 443.87585685 494.73738175
 379.21969358 315.1279509  404.95449133 326.84378955 374.00263754
 348.95775108 190.42572723 208.21444471 327.26464807 228.18124001
 233.10753863 294.34545274 414.51163549 362.19756307 353.32222326
 371.45235924 132.83358818 224.79873122 352.82021119 261.06661667
 452.86301607 248.91557188 171.80232405 233.60551567 137.63593491
 309.53445347 389.28445794 139.25736638 459.75962169 377.63074475
 379.47284207]"
Parque Rosado.,"[268.83575095 434.46237259 185.68859957 478.6217364  202.67712816
 484.86215853 121.52231451 129.77019221 246.54059841 393.62762282
 291.19263719 148.15343459 164.26967484 423.96080827 213.00886046
 239.7744037  113.11475455 291.8533098  370.5492488  121.91578987
 484.01660133 349.64317862 167.42875696 241.86742942 333.51108588
 499.124631   109.96109998 393.73722329 427.42532834 291.48849823
 239.98740272 346.67253594 327.85143045 249.5966553  270.45964753
 464.42993568]"
San Francisco.,"[446.39519813 481.82483209 207.79610643 351.15446299 370.9238333
 184.5807178  427.39073946 353.69183682 164.15584309 230.49508328
 369.8055363  496.55395306 367.60195624 297.0253847  483.84469025
 307.57960645 383.7644703  277.4813488  232.66875005 110.43546149
 268.55197118 224.91644246 425.22670191 379.68083035 102.85804257
 333.95259424 222.32348616 323.86557426 388.2723297  424.29826799
 220.72282686 237.98564444 388.9741289  108.43392646 275.42679893
 305.94938791]"
Santa Ana.,"[339.45765899 107.38462449 165.32286268 184.65749841 228.50528898
 375.16186438 310.05993422 148.81441113 248.77106968 471.62809857
 323.3473229  252.10569435 270.80384278 260.51871971 430.25468976
 149.09211724 486.83739309 143.91351165 123.56019    280.86143456
 189.14018006 169.93007948 231.88259245 213.60463251 457.63830381
 142.04700021 232.57194405 242.87331296 303.19465178 271.56729742
 427.84851767 103.06286187 343.14915096 356.68264723 467.68726159
 143.40481072]"
Villa Country.,"[273.27364298 421.84011578 197.19881129 186.83236033 453.64363049
 190.90673035 296.64957032 196.41239235 368.33354844 388.73592359
 430.28324154 244.52415491 373.67824502 209.88409956 320.37955137
 380.96576526 347.01480416 459.17500317 101.45659557 227.23892578
 335.88377769 292.51318825 183.7169594  135.91362496 168.52866473
 187.80705238 287.56344105 196.54301482 186.57840631 111.73689913
 355.62285552 161.79449174 119.29698482 270.19427097 333.06075934
 444.53934881]"
Villa Tarel.,"[259.99576609 204.96958363 382.70539063 371.69691409 422.20030797
 467.63620434 238.0034258  161.69418592 316.72431428 404.95772096
 237.04509348 266.02093098 129.60930327 164.71723995 273.13490501
 446.05216076 386.42109458 433.63947335 444.98888727 230.20948796
 329.67601484 226.90598548 178.20765299 156.98124394 464.62562861
 321.79469067 108.7211198  206.8726761  338.14151697 313.19777166
 460.21697831 395.00674433 377.11133614 299.17046417 460.83998002
 279.19089846]"
Villanueva.,"[348.99292048 283.03558428 483.92953555 410.12389577 255.16652184
 188.50915032 124.91274408 206.32221713 178.05543205 396.72607239
 210.37665979 351.03393086 377.44423994 229.80241444 413.9996348
 174.28969597 241.51454999 456.33600622 307.51976753 108.80919179
 238.10062819 463.93214283 158.50074531 469.9476972  421.72572634
 202.65653637 408.00366108 428.23797546 165.6043327  376.49576964
 235.24541084 113.63372383 106.60079109 344.68168075 116.09620881
 193.51262202]"
7 de Abril.,"[209.57152914 183.41697821 397.17861573 269.21526258 390.26539671
 420.06140272 490.73552492 308.52624388 221.86280782 231.313985
 142.23164355 270.09958489 386.31419116 197.30278866 356.33069361
 231.75232885 116.45872401 151.84760949 341.44668103 342.83221582
 364.43246194 335.97061364 369.81051656 242.0774042  291.96661475
 303.90576533 258.4326313  405.15562074 306.07518815 154.03672056
 219.84122701 314.67395929 218.69290558 493.73475698 352.73620434
 352.3302935 ]"
20 de Julio.,"[333.568833   154.95709393 440.29039224 493.64874254 423.43054727
 162.04226918 364.75253807 414.13105557 327.42346747 421.10900559
 101.25991071 305.72991978 117.35548179 362.36764572 388.69887047
 203.4156209  165.04683068 441.26713236 423.17504533 310.45719295
 369.01389204 220.10410029 315.15101246 478.12101612 277.91889228
 356.06924354 494.76946905 150.34199666 155.18554054 159.7322831
 191.00735929 114.0360536  381.7352161  224.92569274 173.53529377
 205.26279005]"
Buenos Aires.,"[207.51053361 223.96837956 479.73999223 495.0413564  348.6475207
 320.68426405 204.05981783 461.63589493 277.79386389 498.67656652
 262.07695969 117.39134932 399.19942638 226.88685688 274.46913909
 494.27653317 258.20784254 454.88440235 377.19592329 386.27051708
 131.01690976 362.25053347 262.7255575  143.10110131 251.82246217
 332.15090824 413.18961584 498.88945573 332.64378696 163.86681072
 157.78955851 379.42317309 237.22029462 116.84756913 358.57341088
 301.70072959]"
Carrizal.,"[217.31574128 163.48818536 419.57287657 150.15510841 286.06908423
 226.7679218  238.83625813 304.88590692 442.64785729 406.18599747
 380.82345888 190.20547056 336.75505615 223.99322679 134.29760806
 333.20843977 314.06603133 305.21154048 142.49285109 396.3643558
 491.7700569  284.86309145 112.22576265 354.34361482 206.03752713
 165.42476304 368.40833585 340.76601834 397.12267384 365.57710772
 186.35707925 261.16435098 408.57739098 411.97010448 141.18569203
 220.0013614 ]"
Cevillar.,"[461.86614555 206.21780365 347.43350103 158.32401686 232.7682316
 482.78710021 442.39642398 354.48681446 474.64526807 378.59460771
 456.7431975  455.84532403 453.19442952 100.06238548 494.29040906
 215.43962367 355.44760839 110.98396238 154.45295889 404.74323682
 457.26693563 472.69511592 247.95531176 133.15779304 442.93894182
 240.37251269 415.93498859 267.01961133 498.24083599 125.05464831
 301.46560996 431.34105805 458.51791249 338.40647776 192.29255009
 367.49557707]"
Ciudadela 20 de Julio.,"[115.22031488 347.71999208 390.00634942 141.96892697 396.14645091
 217.34653107 228.09206516 265.65345919 332.93810177 396.31810089
 189.38983671 479.68750924 332.92631113 198.45620423 445.75144332
 316.22160093 202.67017996 277.77621849 199.83805093 443.36259631
 111.82329918 370.43508364 243.40862194 150.36622804 134.64450663
 203.40187642 224.54683739 111.98206348 363.93385987 226.99625785
 361.09622258 270.78677113 267.5633455  371.23079189 192.83608888
 186.97079146]"
El Santuario.,"[276.25856485 351.83204966 353.24532839 346.80739776 191.34559473
 361.60247201 101.92181056 450.38895401 347.60952936 493.35237535
 194.81866983 156.69380828 146.17330924 361.59783334 344.08713106
 478.09660789 498.36650271 396.37564318 427.67822699 362.99913195
 227.53865417 158.31832753 304.32461903 440.36866471 212.35996005
 446.35621147 425.15257276 201.4600053  288.489678   103.41900206
 429.79038512 337.69291152 266.43541086 442.90578129 146.17243294
 134.81115165]"
Kennedy.,"[443.25977942 197.49213545 305.57819202 429.95510922 221.46064455
 314.45194118 408.67418383 175.13836272 109.55706699 234.39157769
 262.46616636 332.94292397 456.14252107 281.17878697 172.62195644
 237.56873582 490.96841654 408.0318669  417.18447516 495.44918787
 314.46888761 137.32693208 242.12108559 158.51725805 188.32849618
 265.21252166 427.47767135 394.36600518 471.29278174 454.22274696
 117.28968274 197.9001002  425.85708733 359.68162039 211.49229383
 284.98504264]"
La Sierra.,"[326.1095846  134.99063759 287.11650082 346.21585977 211.5800087
 243.88090806 391.22546073 458.11003111 132.12459326 276.70958299
 439.91397368 413.90919938 198.33836528 212.77250508 407.30906384
 365.92528467 112.39567347 294.07422911 337.76774241 430.92869222
 133.53044712 432.44238736 352.01068794 355.88808067 242.38695936
 470.86974602 149.07501547 344.46023612 242.96112112 322.25598905
 369.62807035 483.27089552 295.59791349 157.67175623 175.75598995
 270.83031177]"
La Sierrita.,"[323.38432954 230.4627067  283.0401905  445.80904855 339.28947841
 354.98227817 386.95726078 115.5928996  146.83349611 431.70307653
 242.74534706 236.79667495 397.12757849 202.10673044 477.11899476
 331.79428752 111.88976704 475.55005893 210.14406989 122.31506983
 220.34994037 456.74809212 288.21493724 439.75623793 114.44280119
 140.69271963 232.53033355 351.80935463 239.32751686 280.36899357
 104.54555943 413.5719342  248.39851959 475.02545184 431.96774286
 460.89799992]"
La Victoria.,"[372.61899141 158.7873795  450.69492192 332.85220293 337.2958173
 392.77199299 485.71220004 220.66008226 210.96292377 391.09802898
 435.78045168 221.89306155 470.49103875 453.24937811 440.48368616
 462.3149226  475.22960457 396.37811423 425.7352339  167.21109967
 354.43176945 412.44234047 473.98618408 313.59269377 124.57704091
 430.74110204 245.31332107 102.39884434 230.7309531  189.39855133
 295.57869277 218.78849909 369.58171471 125.42264651 259.01950635
 406.42139289]"
Las Américas.,"[188.5033883  316.31087402 269.33249981 176.65633739 263.40718697
 409.70450044 161.85344991 151.14049035 206.75455274 415.06399134
 335.8644311  227.29451972 298.32048001 336.65407254 385.68421418
 411.04144242 249.80877763 173.13862864 215.08076559 134.36992394
 239.98324663 400.34643248 346.4266038  470.0947345  298.65036172
 125.74809475 415.24404312 230.20347515 167.22479147 485.40443908
 194.75757477 368.12645214 489.79276578 495.87925122 105.18143548
 292.33695391]"
Las Cayenas.,"[242.60980083 135.62217459 372.14960959 232.93176684 224.4678371
 238.28792141 381.82675755 371.46757187 251.38699673 282.86666344
 492.66651117 354.90630767 203.4380999  412.0798752  208.14107083
 210.52568547 394.22661896 138.50389434 170.02398938 151.50543659
 315.60276492 404.77310636 364.8441102  443.46340019 427.30001319
 233.93876911 384.5637722  234.90805759 121.44286363 148.4933895
 196.07421559 471.39578451 443.06165737 458.8363692  136.13195034
 382.70859634]"
Las Gardenias.,"[358.19958277 341.44109805 149.34930023 472.62207996 130.61026927
 306.17856215 394.83335053 191.95175373 302.95323003 414.97605471
 462.14399692 108.17561413 224.89425375 398.99543172 276.28607031
 163.2691681  104.86160859 363.42611616 221.87848859 137.21250524
 378.43708227 250.31375584 210.8280291  314.68713246 172.19869058
 166.71665847 211.65952842 381.2366364  301.21660021 225.79611662
 133.58184111 329.9188486  323.3221588  133.28660467 221.52135861
 227.21662549]"
Las Granjas.,"[451.64784195 258.94287534 488.75386194 267.02115768 149.14575646
 348.39610524 114.85768332 374.79129812 333.08446643 415.42903481
 443.85694121 450.05550217 289.75708293 257.38057813 199.30324337
 451.87750964 387.2956223  145.49482853 291.77100846 245.97456648
 211.01134996 370.21439414 326.47627983 274.96832735 458.71135143
 388.26375087 427.32085298 470.29094098 278.48277344 418.01280768
 318.1161259  292.46454974 102.10500778 162.50326854 315.13902413
 247.59373896]"
Los Continentes.,"[385.86742772 219.70757948 362.565488   202.84166113 438.58222558
 311.60778701 195.54085862 273.66615775 220.73558447 203.4450041
 388.22153447 152.85963703 348.07725449 370.32121552 388.88820359
 131.42290802 263.0757736  202.5571958  200.33031379 135.35272577
 123.73522822 204.94360559 126.69002977 318.95984026 392.71564274
 275.05507385 341.68548324 476.77866726 154.85185466 298.50582425
 226.3407243  441.23406669 498.8467035  290.64385869 137.42619135
 418.82715203]"
Los Girasoles.,"[198.07259014 110.68964966 306.72602496 260.71591334 479.15097864
 379.64256278 211.97476172 272.51409344 218.25607835 380.5560766
 444.49124643 343.67298594 418.14520871 393.90287495 116.93190435
 169.50482438 330.79118543 111.86750797 270.65774116 340.8290615
 317.5684969  260.7996124  328.35409436 351.89250871 378.09009293
 322.26853433 429.62990471 220.86949059 143.09222037 354.60342244
 222.46608704 405.60933161 482.67815222 211.30491352 272.74316163
 268.13228802]"
San José.,"[100.48149312 344.93728962 155.55502864 289.72357802 241.11086326
 284.95275616 273.13474697 125.16315323 155.70235817 199.21118234
 449.39023705 153.03904951 453.41871554 347.27097295 492.39748037
 177.70187606 168.55615378 167.76585789 438.53526858 423.45790975
 182.40474384 406.75366598 389.39262905 409.26063963 456.92380416
 205.36273945 105.25185843 440.09066773 280.27750106 298.10286329
 129.04248192 382.18440131 216.49773523 435.27205649 350.59635197
 235.62078562]"
San Luis.,"[142.78493567 410.02183176 286.69721988 240.51232886 107.15083363
 334.49630539 142.92271461 260.1692211  378.45100203 499.90869065
 122.16240509 310.07217394 266.03756922 404.22774741 112.83888906
 321.93978114 368.34072871 134.2398815  374.78265821 130.16508913
 197.03998311 309.73504768 374.79784261 405.37144828 345.03132637
 212.87863729 280.44689296 301.1857651  438.37660823 325.05028295
 483.11628121 380.98325574 250.98764621 300.91919924 427.72391656
 310.95924942]"
Santa María.,"[207.42537959 383.79964173 195.66552772 140.08957796 102.79268153
 445.35597166 114.6360364  202.98072503 266.59315355 452.79816414
 484.84795585 399.25400524 360.86892864 354.07103017 142.62183498
 408.786466   172.27676455 490.62153402 139.30200425 442.83851894
 348.52385926 209.08922626 323.69759722 457.08895833 241.51350643
 340.37180072 164.71105631 473.38147212 375.33258014 138.06250745
 228.95529352 208.73366813 388.65423529 401.47882277 373.85941421
 399.09870559]"
Santo Domingo de Guzmán.,"[324.71641471 211.51977389 162.1761765  317.91295434 217.81829496
 277.41736954 137.08012842 153.88434096 294.65893596 411.20792426
 300.59944503 183.25086399 499.2063146  344.75310041 309.47000731
 346.56859316 341.38033441 495.56909488 324.0079823  468.34335076
 205.3354927  214.91684959 393.60211488 281.08339424 285.87455529
 462.7101891  351.09505789 109.30393005 180.93209436 438.57973432
 231.13803371 205.27138645 131.90289473 232.16791285 156.17059841
 104.22171659]"
Villa San Carlos.,"[209.88328688 335.64448955 480.52616298 371.99746789 382.68215523
 355.43979947 270.89775829 280.64565997 289.93538313 319.84911322
 144.08009528 240.94959341 154.73214171 443.75964851 477.59555686
 440.14073675 179.01351819 233.55652038 254.98002529 421.28643064
 235.95593959 327.64311597 302.56967376 425.62971022 348.26283012
 463.40050882 111.29703413 353.49307734 159.07965183 309.63154605
 313.39797067 185.87780189 176.07842676 392.2270477  245.20106877
 265.35601212]"
Villa San Pedro I.,"[272.2191342  121.91553623 301.71954068 198.96906648 115.82820768
 481.37702016 241.65111852 194.63523776 101.52257746 419.31473525
 382.05682778 297.70075084 322.65695106 216.04445595 420.93508171
 186.03682966 416.88468091 472.00887947 477.80753959 218.78661677
 222.29936075 381.97946126 467.62034899 325.62120106 189.66003021
 404.10512162 217.74635046 297.88050163 496.05018137 137.02437415
 354.49068982 316.59187863 143.83981325 380.67529678 209.57127696
 333.18949483]"
Villa San Pedro II.,"[253.85309946 114.49904901 207.50625426 490.29947095 375.49097058
 113.80061331 174.56872932 472.12728461 114.05017709 290.56646524
 392.07588045 341.21312124 265.14724667 104.99022073 185.72621836
 132.29286692 280.32909315 467.78711837 260.44230509 280.1746337
 381.39834532 209.16123486 285.20824055 269.16649758 138.85822881
 183.52060477 259.86107528 212.81226416 128.11469289 189.12847903
 283.99106763 324.09901995 302.35263726 158.63043466 297.95493165
 482.07637127]"
Villa Sevilla.,"[176.19137052 475.69109988 351.90572543 103.23444114 248.66009986
 262.71945704 223.09002951 185.23559592 150.1277798  112.87956971
 257.43718736 170.36478977 481.62349179 245.37413305 423.85561172
 137.51259749 138.90424255 415.33985484 278.83361978 246.35103284
 379.54218212 111.75542017 118.58561655 305.1662437  255.56545328
 368.84725706 282.95242843 159.94300629 237.18080392 382.05720589
 316.23894414 267.52417284 360.8817915  316.92907113 179.74689252
 222.09147955]"
7 de Agosto.,"[381.5912821  368.04793037 236.87600908 323.74504781 377.07125219
 224.22219664 353.53176553 336.61321988 249.52338963 252.52282395
 282.74390791 237.16406827 413.04347647 271.14898689 356.37743986
 364.18420964 131.74257909 214.6553357  322.73157027 356.68888155
 423.51764936 331.89564842 302.27957211 208.43831429 203.45763739
 492.81306389 214.82062427 352.47418532 346.94295123 130.84261053
 167.63952855 396.6925914  455.02341781 131.83683586 270.99273398
 213.26277072]"
Bernando Hoyos,"[375.77694064 468.36519775 244.25770482 423.67096647 340.539619
 141.49115694 368.85600374 270.39840118 412.13360592 132.04727919
 205.68242782 463.57742128 396.37521125 225.55498331 231.28191904
 369.21785185 168.62336688 427.77571414 486.6314292  407.51063084
 242.55010848 186.56809083 394.30554628 365.722032   223.33514287
 306.58602221 319.80357975 303.13283836 402.00257061 439.60660581
 303.00142763 450.40012284 282.2695178  343.9366481  481.27585972
 407.1494533 ]"
Buena Esperanza.,"[460.49466457 192.05309525 226.01938099 146.64456725 221.10114315
 351.95390322 176.08211919 392.18232842 234.05595588 190.50642056
 453.38397867 149.37122446 195.72281078 347.35328678 242.15160137
 342.10887541 433.08530308 221.68252783 281.83157497 375.51970768
 378.87367732 391.97500738 253.51770886 431.63601832 161.35557325
 353.92410221 399.66646742 343.3506947  148.37652254 202.04595436
 204.81586283 426.86272556 226.53120809 171.15393733 412.84115045
 458.17638964]"
California.,"[458.79195724 191.46691568 291.68531719 457.44684054 343.38583297
 257.14917396 404.61954996 169.89276    244.56545598 242.1745295
 110.19531782 398.9029689  137.23847483 454.93414758 168.20752002
 379.38561861 427.13396305 349.00354198 126.55934967 401.51912582
 115.42304364 310.40325058 297.27099395 309.84124572 370.17408245
 162.99968715 146.89363094 217.44217596 102.53175708 384.43526129
 220.91812098 384.75217368 437.4200044  131.23407397 198.09857329
 467.9532911 ]"
Caribe Verde.,"[371.86546678 470.68823644 357.61520949 192.20391173 316.75587492
 291.92806048 444.54398497 307.11190435 384.73621531 292.96004635
 480.15160009 211.44630992 463.94470771 291.65772876 433.14380836
 224.22566102 121.06022393 272.13056555 336.13774347 357.56684093
 437.97399773 374.34819147 297.42293655 265.14363812 466.64218967
 118.37353655 217.57790162 379.23691113 146.49120165 406.79674916
 245.91025855 354.66216704 377.10596674 243.79440161 494.77134458
 126.64329356]"
Carlos Meisel.,"[104.06142234 190.12673525 482.89705488 361.90777393 254.85880752
 411.6780199  336.93349418 496.27831306 280.01247006 171.07441634
 139.5245102  101.0908945  390.46945571 173.51112203 259.39928915
 496.48501366 289.12898725 463.81668594 231.97208994 495.39330598
 169.84573206 171.68092955 197.70534482 451.52468257 125.83470631
 450.09239718 314.23597787 372.55625795 307.79049878 463.90544237
 435.70091229 471.29457735 453.11273803 497.30352316 451.05249863
 192.77546946]"
Cevillar.,"[140.401945   284.92360757 305.2919652  386.53464653 279.88818108
 306.21094771 403.171761   153.12443194 164.44242009 461.59132372
 479.02584006 442.67766218 106.87562446 295.04621309 150.38077267
 249.61657286 381.20997973 481.32310057 184.14273601 416.74438472
 276.3192417  125.56127832 478.67945601 258.89949318 224.79130815
 418.28663918 462.06081828 462.6292787  437.98645102 172.45983395
 308.80259129 365.48895001 335.85039209 369.6250645  276.46734815
 176.4169396 ]"
Chiquinquirá.,"[392.89829302 118.14816909 171.81198085 459.61036823 442.20218456
 154.86635344 217.32325908 305.18732822 407.19843065 426.34772976
 144.04515198 410.82455297 378.7019375  132.97917169 479.78811193
 198.61069537 145.76475668 319.36342274 196.62198793 311.5840795
 469.09383202 329.8122687  435.51279518 422.88341117 370.67926323
 263.48703879 101.29448793 361.96235687 269.70089128 297.2724887
 441.55023587 282.05031326 104.73929406 260.60664466 380.64056518
 282.82185145]"
Ciudad Modesto.,"[246.99060175 298.52768831 430.19606738 272.72988745 409.87514912
 307.88504643 337.60919026 118.44545063 262.0340895  444.24141644
 367.46356231 390.77083594 153.30170971 297.36576125 231.83485894
 198.18375732 198.29862997 197.28850085 189.9045112  327.36224117
 192.51117356 472.98124107 220.06341257 181.56795187 403.52938183
 130.74665834 154.03962265 287.81099083 429.48470911 414.63998373
 263.9440133  351.75285845 481.4403337  414.57271791 304.70980166
 414.30072402]"
Colina Campestre.,"[124.72298993 229.61348331 473.14973076 466.58442726 260.31327355
 185.33935493 148.47767871 108.02907627 103.83680502 327.44253281
 499.13466287 381.11022761 185.91204726 404.90131259 367.6424608
 477.33412022 330.53804565 200.04960953 367.0939782  370.67545628
 392.28260041 164.96095435 416.38282096 181.49199197 356.91875932
 169.31331662 134.33861556 419.8815806  139.70724583 138.9207762
 474.29764849 419.36711281 171.04456727 343.27270187 315.74398102
 455.30252183]"
Cordialidad.,"[127.16978261 126.46509771 434.93100235 184.41609271 485.66619872
 381.96730281 201.7881565  211.8390981  371.54073085 460.3998537
 499.97222405 406.89918728 104.92748191 444.30479598 198.0896338
 291.15217822 328.39461819 130.2304911  433.700127   185.54731802
 437.76540223 340.77156879 279.26244716 104.93438195 113.8706359
 208.00354637 377.26235597 265.83999788 442.77872985 108.35702701
 245.73619834 172.97671315 223.15328366 183.50015931 215.21875841
 442.63971439]"
Corrigimiento Juan Mina.,"[433.59198525 400.53430839 154.66634148 363.50744086 483.11987865
 158.24340994 150.2601655  249.75334343 400.15722406 322.91158894
 455.94468315 155.05590906 339.42613308 485.49637762 495.19646102
 286.07136545 324.02963853 213.66243178 445.82821754 379.50852122
 275.34071387 347.37127742 150.45240898 452.0155203  288.39220581
 267.32571197 272.31807108 105.12750036 251.50199244 175.18665418
 160.91418476 487.18227889 324.7057028  408.57705204 288.2683344
 409.27154021]"
Cuchilla de Villate.,"[265.42633769 118.5563634  212.38933017 497.61026104 232.98271104
 482.38219335 205.39361443 294.69179291 216.82459499 242.06160758
 128.35419769 275.00163485 268.17754026 394.81786389 197.58341061
 417.87893054 485.62222181 153.15270545 101.7743581  455.97019067
 426.63942379 279.06308852 399.83966007 210.34197536 284.19701394
 358.7720453  406.35016207 369.73934415 192.65054058 287.53008069
 263.34845918 431.15419807 287.57328429 287.12624864 344.70063493
 461.48753421]"
El Bosque.,"[219.16281154 361.58062432 114.978317   318.69854839 175.64353819
 113.61470401 386.32574871 140.65640136 302.88156343 154.11991994
 346.63508308 130.15051223 108.80602342 386.43538915 407.53631681
 455.31960432 116.69964817 161.03822971 375.98158714 341.5889065
 316.02945002 303.93653245 249.1412432  428.80424687 273.89972175
 461.73537789 405.67001819 126.99397512 330.41066869 385.72090227
 446.97743865 367.52348124 198.51694765 392.19193906 375.7231448
 128.3655229 ]"
El Carmen.,"[282.06647942 368.97306278 299.28613939 339.69617695 212.02764371
 119.29858864 108.32736102 486.07110576 120.51312458 190.04165521
 261.08238364 399.26489588 226.75014215 434.90130192 326.58932048
 344.03795935 310.53329619 208.23727241 251.43157443 401.14453378
 162.82541866 133.59748556 247.33596118 494.41090866 370.09543698
 120.31416873 270.56377593 277.07811671 458.65900546 298.758543
 449.74338861 249.54027569 474.46196749 185.08668764 212.40321649
 127.14586486]"
El Edén 2000.,"[102.93390397 308.12137464 189.66540409 468.07196712 416.40016201
 430.47642237 498.71048368 104.01300268 110.52406521 234.19520787
 183.35454511 138.50133859 163.87009494 168.92579452 459.89293718
 118.89473733 378.82906686 477.80265788 243.42474634 148.1317338
 205.70721991 466.80197374 168.90190095 179.70578111 469.08973098
 197.82088419 483.34410706 433.77704132 155.58247838 172.66939733
 262.4566422  101.05523962 337.81837958 389.71420884 459.75863421
 130.87332223]"
El Golfo.,"[241.03277314 311.20634884 271.63449676 198.46115125 428.9216392
 312.64632217 242.78390282 427.62818385 106.56120749 464.65034466
 368.81604237 144.60259633 182.46360432 401.22532412 428.57031176
 182.76454644 479.17153927 262.84480271 139.84349484 245.86150212
 296.84346837 459.30492659 447.13894864 253.50054244 274.73172193
 190.91021886 294.47027792 237.17230577 291.43641652 484.98931615
 425.79490585 213.0835006  179.54985371 226.50183061 441.56850039
 154.16563612]"
